num_vehicles,distance,fitness
6.0,568.9267681703336,600.5689267681703
8.0,800.4072169467586,800.8004072169467
7.0,712.9730562326138,700.7129730562326
8.0,765.2485383758174,800.7652485383758
7.0,611.4745789942925,700.6114745789943
7.0,640.608853532361,700.6406088535324
7.0,807.8558699786311,700.8078558699787
7.0,695.2530287226261,700.6952530287226
6.0,677.1767775811313,600.6771767775812
7.0,738.3377495412692,700.7383377495413
8.0,781.5871038912636,800.7815871038913
6.0,638.1762908714651,600.6381762908715
8.0,675.7644959223784,800.6757644959224
6.0,628.7154906931506,600.6287154906931
8.0,697.4637525736589,800.6974637525736
6.0,697.1156941259383,600.697115694126
7.0,674.3705444504994,700.6743705444505
7.0,636.8998191383478,700.6368998191383
7.0,672.6679981416926,700.6726679981417
8.0,699.3624724198187,800.6993624724198
5.0,642.5399001981862,500.6425399001982
6.0,562.086159036485,600.5620861590365
7.0,675.903958905882,700.6759039589059
6.0,643.3855259331691,600.6433855259331
8.0,812.9864834512807,800.8129864834513
7.0,678.6755022599515,700.6786755022599
6.0,556.5067120785473,600.5565067120785
6.0,711.140009282743,600.7111400092828
8.0,704.877769459407,800.7048777694594
7.0,741.4377464983215,700.7414377464984
6.0,673.8182015710248,600.6738182015711
7.0,667.8843520974253,700.6678843520974
8.0,661.8602053899522,800.66186020539
9.0,767.1963189386314,900.7671963189387
9.0,794.2578884644147,900.7942578884644
6.0,607.6797854289038,600.6076797854289
7.0,668.1961659314877,700.6681961659315
8.0,776.8910598090023,800.776891059809
6.0,628.3587683592006,600.6283587683592
8.0,670.2314310372067,800.6702314310372
6.0,619.3232953463256,600.6193232953464
7.0,654.2814588486588,700.6542814588487
7.0,707.0615716548696,700.7070615716549
6.0,695.2867674812619,600.6952867674812
8.0,740.2522041895597,800.7402522041896
7.0,661.5640348309929,700.661564034831
5.0,594.9381704465809,500.5949381704466
6.0,658.5240863959176,600.6585240863959
6.0,690.9841842998401,600.6909841842999
7.0,738.7840287339841,700.738784028734
7.0,713.8576602398961,700.7138576602399
6.0,568.2861374437055,600.5682861374437
8.0,754.0166716169359,800.7540166716169
7.0,747.0566229522177,700.7470566229522
7.0,602.9576913894957,700.6029576913895
7.0,658.6749748849649,700.658674974885
6.0,597.9012815387591,600.5979012815387
5.0,571.0269552463741,500.5710269552464
6.0,597.2776399771254,600.5972776399772
10.0,816.1186768235734,1000.8161186768235
7.0,823.3425750237474,700.8233425750237
5.0,601.7317765164279,500.60173177651643
4.0,468.842623232074,400.4688426232321
7.0,739.9747347660716,700.7399747347661
8.0,700.9367720388165,800.7009367720389
8.0,717.6481132911397,800.7176481132911
6.0,744.8581374015832,600.7448581374016
6.0,644.3190952249862,600.644319095225
7.0,693.4845062319046,700.6934845062319
6.0,555.1943076990275,600.555194307699
7.0,602.0944605049809,700.602094460505
6.0,678.8057243331027,600.6788057243331
7.0,599.9292128201023,700.5999292128201
7.0,615.5222440088243,700.6155222440088
7.0,707.776088028907,700.7077760880289
6.0,696.3688069442029,600.6963688069442
7.0,655.0280711931396,700.6550280711931
6.0,566.0572335487458,600.5660572335487
7.0,693.8633710965289,700.6938633710965
7.0,652.0966870416731,700.6520966870416
7.0,692.1546962481366,700.6921546962482
6.0,631.2357556853484,600.6312357556853
6.0,717.4210515553443,600.7174210515553
8.0,726.7411281794365,800.7267411281795
6.0,703.305900008392,600.7033059000084
7.0,717.6272085463249,700.7176272085463
8.0,661.324268381913,800.6613242683819
7.0,661.3711477023792,700.6613711477024
8.0,670.536016149041,800.6705360161491
8.0,717.1525365776149,800.7171525365776
8.0,699.3706145670883,800.6993706145671
8.0,667.3464983957199,800.6673464983958
8.0,721.8909114204,800.7218909114204
6.0,564.4410467241581,600.5644410467241
7.0,697.227270244533,700.6972272702445
8.0,712.2241153732989,800.7122241153733
6.0,718.1548829986133,600.7181548829986
8.0,783.0613996698378,800.7830613996698
6.0,694.3511292518214,600.6943511292518
7.0,664.3603462243963,700.6643603462244
7.0,756.7250102372515,700.7567250102372
6.0,632.9266402334619,600.6329266402334
7.0,705.7159176258567,700.7057159176259
8.0,690.4470907807089,800.6904470907807
7.0,667.5794050716654,700.6675794050717
9.0,754.7762455210446,900.754776245521
7.0,680.233470498268,700.6802334704983
8.0,713.0560285969633,800.713056028597
8.0,754.2146187602712,800.7542146187602
7.0,732.1129274519654,700.732112927452
6.0,643.7926381060562,600.6437926381061
8.0,644.1534383431866,800.6441534383432
6.0,637.8467030008924,600.637846703001
6.0,678.0035658183592,600.6780035658184
8.0,751.4203377918255,800.7514203377918
8.0,676.6601610248966,800.6766601610249
7.0,654.2551877321237,700.6542551877321
7.0,637.3189574274719,700.6373189574275
5.0,534.5476980609632,500.534547698061
6.0,688.1367791922652,600.6881367791923
7.0,677.9173530913649,700.6779173530914
7.0,669.0724684321106,700.6690724684321
5.0,610.4525874700892,500.6104525874701
6.0,597.1750470687505,600.5971750470687
6.0,600.1418189873442,600.6001418189874
